Name, SubZoneID
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Mexico, 104
Mexico, 104
Mexico, 104
Mexico, 104
Mexico, 104
Mexico, 104
Northwest Africa, 714
Caribbean Ocean Floor, 224
Caribbean Ocean Floor, 224
Zamboanga Peninsula, 646
Honshu and Kyushu, Japan, 630
Honshu and Kyushu, Japan, 630
Honshu and Kyushu, Japan, 630
Honshu and Kyushu, Japan, 630
Honshu and Kyushu, Japan, 630
Honshu and Kyushu, Japan, 630
Honshu and Kyushu, Japan, 630
Honshu and Kyushu, Japan, 630
Honshu and Kyushu, Japan, 630
Honshu and Kyushu, Japan, 630
Honshu and Kyushu, Japan, 630
Honshu and Kyushu, Japan, 630
Honshu and Kyushu, Japan, 630
Honshu and Kyushu, Japan, 630
C. Hokkaido, 625
C. Hokkaido, 625
C. Hokkaido, 625
C. Hokkaido, 625
Betic Spain, 329
Arabia, 503
Arabia, 503
Arabia, 503
Arabia, 503
Arabia, 503
Arabia, 503
Arabia, 503
Arabia, 503
Arabia, 503
Lut Iran, 505
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Helmand Central Afghanistan, 50601
Tunisia, 7701
Tunisia, 7701
Tunisia, 7701
India, 501
India, 501
India, 501
India, 501
East Qiangtang, 616
Andaman Sea west, 67352
Andaman Sea west, 607
Andaman Sea west, 607
Andaman Sea west, 607
Andaman Sea west, 607
Cayman Ridge, Caribbean, 216
Cayman Ridge, Caribbean, 216
Sea of Japan, 601
Tonga Ridge, 821
S Hispanola San Juan, 253
S Hispanola San Juan, 253
S Hispanola San Juan, 254
S Hispanola San Juan, 253
S Hispanola San Juan, 253
S Hispanola San Juan, 253
North America, 233
North America, 233
North America, 233
North America, 233
North America, 101
North America, 101
South America, 201
South America, 201
Central Honshu, 628
Central Honshu, 628
Peri Siberia, 401
Peri Siberia, 401
Peri Siberia, 401
Peri Siberia, 401
Peri Siberia, 401
Peri Siberia, 401
Peri Siberia, 401
Peri Siberia, 401
Novaya-Semya, 373
Novaya-Semya, 373
Novaya-Semya, 373
Yamal Peninsula western Kara Sea, 372
Yamal Peninsula western Kara Sea, 372
Eurasia, 302
Eurasia, 302
Eurasia, 302
Eurasia, 302
Eurasia, 302
Eurasia, 302
Eurasia, 302
Eurasia, 302
Zamboanga Peninsula, 646
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
North Patagonian Massif, 283
Eastern Province, southern South Island, NZ, 813
South New Zealand & Campbell Plateau, 813
South New Zealand & Campbell Plateau, 813
South New Zealand & Campbell Plateau, 813
South New Zealand & Campbell Plateau, 813
South New Zealand & Campbell Plateau, 813
Jamacia, 222
Guayape, Central America, 212
Guayape, Central America, 212
North Norfolk Ridge, 844
North Norfolk Ridge, 844
North Norfolk Ridge, 844
South Bismark Basin, 830
South Bismark Basin, 830
South Bismark Basin, 830
South Bismark Basin, 830
North Bismark Basin, 847
North Bismark Basin, 847
North Bismark Basin, 847
North Bismark Basin, 847
North Bismark Basin, 847
North Bismark Basin, 847
North Bismark Basin, 847
North Bismark Basin, 847
North Bismark Basin, 847
North Bismark Basin, 847
North Bismark Basin, 847
North Bismark Basin, 847
North Bismark Basin, 847
North Bismark Basin, 847
North Bismark Basin, 847
North Bismark Basin, 847
North Bismark Basin, 847
North Bismark Basin, 847
Halmahera Basin, 678
Halmahera Basin, 678
West Halmahera Block, 679
West Halmahera Block, 679
West Halmahera Block, 679
West Halmahera Block, 679
West Halmahera Block, 679
West Halmahera Block, 679
East Halmahera Block, 697
East Halmahera Block, 697
East Halmahera Block, 697
East Halmahera Block, 697
Torricelli Terrane, North New Guinea, 69702
Torricelli Terrane, North New Guinea, 69702
Indochina, 604
Indochina, 60401
Indochina, 604
Malay Peninsula, 60402
Ruby Terrane, 18106
South China, 602
South China, 602
South China, 602
South China, 602
South China, 602
South China, 602
South China, 602
South China, 602
South China, 602
South China, 602
South China, 602
South China, 602
South China, 602
South China, 602
South China, 602
South China, 602
South China, 602
South China, 602
West Taiwan, 602
Hainan, 60201
Papua-New Guinea, 615
Papua-New Guinea, 615
Papua-New Guinea, 615
Papua-New Guinea, 615
Papua-New Guinea, 615
Papua-New Guinea, 615
Corsica/Sardinia, 306
Corsica/Sardinia, 306
Corsica/Sardinia, 7701
Corsica/Sardinia, 306
Corsica/Sardinia, 7701
Corsica/Sardinia, 707
Corsica/Sardinia, 306
Sicily, 323
Calabria, 322
Calabria, 322
Greece, 3446
Greece, 3446
Greece, 3446
Greece, 3446
Greece, 3446
Greece, 3446
Greece, 3446
Peloponnese, 346
Peloponnese, 346
Peloponnese, 346
Peloponnese, 346
Peloponnese, 346
Peloponnese, 346
Crete, 347
Menderes-Taurides Block, 522
Menderes-Taurides Block, 522
Menderes-Taurides Block, 522
Menderes-Taurides Block, 522
Menderes-Taurides Block, 522
Menderes-Taurides Block, 522
Menderes-Taurides Block, 522
Menderes-Taurides Block, 522
Kirsehir, 525
East Pontides, 526
Gagra-Shatsky, 551
Gagra-Shatsky, 551
Sakarya, 521
Sakarya, 521
Sakarya, 521
Sakarya, 521
Sakarya, 521
Sakarya, 521
Sakarya, 521
West Pontides, 520
West Pontides, 338
West Pontides, 520
West Pontides, 520
West Pontides, 521
West Pontides, 520
West Pontides, 520
West Pontides, 520
Falkland Plateau, trapped Scotia Sea, 8201
Falkland Plateau, trapped Scotia Sea, 8201
Falkland Plateau, trapped Scotia Sea, 8201
Falkland Plateau, trapped Scotia Sea, 8201
Falkland Plateau, trapped Scotia Sea, 8201
Falkland Plateau, trapped Scotia Sea, 8201
West Svalbard, 309
West Svalbard, 309
West Svalbard, 309
West Svalbard, 309
West Svalbard, 309
Sanand, 505
Alborz Lut, 505
Tethyan Himalayan microcontinent of Greater India, 501
Armorica, 305
Armorica, 305
Moldanubia, 375
Armorica, 305
Armorica, 305
Perunica, 374
Parana Basin, 202
Parana Basin, 202
Salawati, 698
Salawati, 698
Atlas, 718
Rif, 721
Rif, 721
Alboran, 721
Baja California, 176
Baja California, 105
Baja California, 105
Cuba, 274
Cuba, 274
Cuba, 274
Cuba, 274
Cuba, 274
Cuba, 274
Scythian, 301
Scythian, 301
Scythian, 301
Scythian, 301
Saxothuringia, 375
Pacific, 983
North America, 101
Iberia, 304
Iberia, 304
Iberia, 304
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Northwest Africa, 714
Iberia, 304
Flores-Alor Islands, 652
Flores-Alor Islands, 652
Flores-Alor Islands, 652
Flores-Alor Islands, 652
Flores-Alor Islands, 652
Flores-Alor Islands, 652
Eastern Panama, Central America, 229
Eastern Panama, Central America, 229
Eastern Panama, Central America, 229
Eastern Panama, Central America, 229
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Pacific, 901
Laurentia Parautochthon, 154
Roberts Mountain and Golkonda, 178
