1 - Nazca,2 - Cocos,3 - Juan de Fuca
4 - Pacific,5 - Philippine ,6 - Indian and Australian
7 - Farallon,8 - Kula,9 - Izanagi
Time,PolygonAssociation,Plate ID
0,1,911
0,2,909
0,2,970
0,3,903
0,4,901
0,5,608
0,6,801
0,6,511
0,6,501
10,1,911
10,2,909
10,2,970
10,3,903
10,4,901
10,5,608
10,6,801
10,6,511
10,6,501
20,1,911
20,7,902
20,3,903
20,4,901
20,5,608
20,6,801
20,6,511
20,6,501
30,7,902
30,3,903
30,4,901
30,5,608
30,6,801
40,7,902
40,3,903
40,4,901
40,5,609
40,6,801
50,7,902
50,3,903
50,8,918
50,4,901
50,5,609
50,6,801
50,6,501
60,7,902
60,8,918
60,9,926
60,4,901
60,6,801
60,6,501
