1 - SAM,2 - NAM,3 - Aleutians,4 - Japan
5 - IzuBoninMariana,6 - Philippine ,7 - Tonga,8 - SundaJava
Time,SZ ID,Plate ID,Trench ID
0,1,911,201
0,1,911,2031
0,1,911,2000
0,1,911,201013
0,1,911,201012
0,1,911,201011
0,1,911,201010
0,1,911,201009
0,1,911,201008
0,1,911,201007
0,1,911,201006
0,1,911,201005
0,1,911,201004
0,1,911,201003
0,1,911,201002
0,1,911,201001
10,1,911,2031
10,1,911,201
10,1,911,201013
10,1,911,201012
10,1,911,201011
10,1,911,201010
10,1,911,201009
10,1,911,201008
10,1,911,201007
10,1,911,201006
10,1,911,201005
10,1,911,201004
10,1,911,201003
10,1,911,201002
10,1,911,201001
20,1,911,2031
20,1,911,201
20,1,911,201013
20,1,911,201012
20,1,911,201011
20,1,911,201010
20,1,911,201009
20,1,911,201008
20,1,911,201007
20,1,911,201006
20,1,911,201005
20,1,911,201004
20,1,911,201003
20,1,911,201002
20,1,911,201001
30,1,902,201
30,1,902,201013
30,1,902,201012
30,1,902,201011
30,1,902,201010
30,1,902,201009
30,1,902,201008
30,1,902,201007
30,1,902,201006
30,1,902,201005
30,1,902,201004
30,1,902,201003
30,1,902,201002
30,1,902,201001
40,1,902,201
40,1,902,201013
40,1,902,201012
40,1,902,201011
40,1,902,201010
40,1,902,201009
40,1,902,201008
40,1,902,201007
40,1,902,201006
40,1,902,201005
40,1,902,201004
40,1,902,201003
40,1,902,201002
40,1,902,201001
50,1,902,201
60,1,902,201
0,2,909,2000
0,2,909,101
0,2,970,101
0,2,101,101
0,2,903,12001
0,2,901,12001
10,2,909,2000
10,2,909,101
10,2,970,101
10,2,903,101
10,2,903,12001
20,2,224,2000
20,2,909,2000
20,2,909,101
20,2,909,10528
20,2,903,12001
30,2,902,2031
30,2,902,2015
30,2,902,2000
30,2,902,10528
30,2,903,10528
30,2,903,12001
40,2,902,2031
40,2,902,2015
40,2,902,2000
40,2,902,101
40,2,903,101
50,2,902,2031
50,2,902,2015
50,2,902,2000
50,2,902,101
50,2,903,101
60,2,902,2031
60,2,902,2000
60,2,902,101
60,2,902,2015
0,3,901,111
0,3,406,413
10,3,901,111
10,3,406,413
20,3,901,111
20,3,406,413
30,3,901,111
40,3,901,111
50,3,918,182
50,3,918,101
50,3,901,101
60,3,918,182
60,3,918,301
60,3,901,301
60,3,401,301
0,4,901,406
0,4,901,413
0,4,901,662
0,4,901,601111
0,4,901,601112
0,4,901,601113
0,4,901,601114
0,4,901,601115
0,4,901,601116
0,4,901,601118
10,4,901,406
10,4,901,662
10,4,901,413
10,4,901,601112
10,4,901,601113
10,4,901,601114
10,4,901,601115
10,4,901,601116
20,4,901,413
20,4,901,406
20,4,901,601111
20,4,901,601112
20,4,901,601113
20,4,901,601114
20,4,901,601115
20,4,901,601116
20,4,901,601118
20,4,901,601126
30,4,901,413
30,4,901,406
30,4,901,601113
30,4,901,601114
30,4,901,601115
30,4,901,601116
30,4,901,601118
30,4,608,601109
30,4,608,601110
30,4,608,601111
30,4,608,601112
30,4,608,601113
30,4,608,601125
30,4,608,601126
30,4,608,601127
30,4,608,601128
40,4,901,406
40,4,901,601104
40,4,901,601105
40,4,901,601106
40,4,901,601107
40,4,901,601108
40,4,901,601109
40,4,901,601110
40,4,901,601111
40,4,901,601112
40,4,901,601113
40,4,901,601114
40,4,901,601115
40,4,901,601116
40,4,901,601118
40,4,901,601120
50,4,901,406
50,4,901,648
50,4,901,601203
50,4,901,601101
50,4,901,601102
50,4,901,601103
50,4,901,601104
50,4,901,601105
50,4,901,601106
50,4,901,601107
50,4,901,601108
50,4,901,601109
50,4,901,601110
50,4,901,601111
50,4,901,601112
50,4,901,601113
50,4,901,601114
50,4,901,601115
50,4,901,601116
50,4,901,601118
50,4,901,601120
60,4,926,301
60,4,926,648
60,4,926,601101
60,4,926,601102
60,4,926,601103
60,4,926,601104
60,4,926,601105
60,4,926,601106
60,4,926,601107
60,4,926,601108
60,4,926,601109
60,4,926,601110
60,4,926,601111
60,4,926,601112
60,4,926,601113
60,4,926,601114
60,4,926,601115
60,4,926,601116
60,4,926,601118
0,5,901,659
0,5,901,699
0,5,674,699
10,5,901,659
10,5,901,699
10,5,901,610
10,5,653,699
10,5,653,610
20,5,901,659
20,5,901,610
20,5,653,610
30,5,901,659
40,5,901,659
50,5,901,659
0,6,608,648
0,6,678,648
0,6,301,601106
0,6,301,601105
0,6,301,601104
0,6,301,601103
0,6,301,601102
0,6,301,601101
0,6,301,601203
0,6,301,601204
0,6,301,601205
0,6,301,601206
0,6,301,601207
0,6,301,601208
0,6,301,601209
0,6,659,601111
0,6,659,601126
0,6,659,601109
0,6,659,601125
0,6,659,601110
0,6,659,601128
0,6,659,601127
0,6,659,601129
0,6,659,601130
0,6,659,601108
0,6,659,601131
0,6,659,601107
0,6,659,601106
10,6,608,601107
10,6,608,601106
10,6,608,601105
10,6,608,601104
10,6,608,601103
10,6,608,601102
10,6,608,601101
10,6,608,601203
10,6,608,601204
10,6,608,601205
10,6,608,601206
10,6,608,648
10,6,659,601112
10,6,659,601111
10,6,659,601126
10,6,659,601125
10,6,659,601110
10,6,659,601127
10,6,659,601128
10,6,659,601109
10,6,659,601129
10,6,659,601130
10,6,659,601108
10,6,659,601131
10,6,659,601107
20,6,608,648
20,6,608,601205
20,6,608,601204
20,6,608,601203
20,6,608,601101
20,6,608,601102
20,6,608,601103
20,6,608,601104
20,6,608,601105
20,6,608,601106
20,6,608,601107
20,6,659,601107
20,6,659,601131
20,6,659,601108
20,6,659,601130
20,6,659,601129
20,6,659,601109
20,6,659,601128
20,6,659,601127
20,6,659,601110
20,6,659,601125
20,6,659,601126
30,6,608,648
30,6,608,601101
30,6,608,601102
30,6,608,601103
30,6,608,601104
30,6,608,601105
30,6,608,601106
30,6,608,601107
30,6,608,601108
30,6,608,601129
30,6,608,601130
30,6,608,601131
30,6,608,601203
30,6,608,601204
30,6,608,601205
40,6,609,648
40,6,609,601204
40,6,609,601203
40,6,609,601101
40,6,609,601102
40,6,609,601103
40,6,609,601104
0,7,901,821
0,7,901,806
10,7,901,821
10,7,801,821
10,7,901,806
20,7,901,827
20,7,901,821
20,7,901,823
30,7,901,821
30,7,901,823
40,7,901,821
40,7,901,823
0,8,501,686
0,8,511,686
0,8,511,736
0,8,801,736
10,8,801,651
10,8,801,736
10,8,511,736
10,8,511,686
10,8,501,686
20,8,501,686
20,8,511,686
20,8,511,736
20,8,801,736
30,8,801,686
30,8,801,736
40,8,801,67351
50,8,501,67351
50,8,53401,67351
50,8,801,67351
50,8,801,614
60,8,501,67351
60,8,53401,67351
60,8,53401,614
0,9,901,806
0,9,901,821
0,9,801,827
0,9,801,847
0,9,829,847
0,9,849,847
0,9,697,847
10,9,901,806
10,9,901,821
10,9,901,827
10,9,801,827
10,9,801,847
10,9,849,847
10,9,653,910
20,9,901,827
20,9,901,821
20,9,901,823
20,9,901,847
30,9,901,821
30,9,901,823
30,9,901,847
40,9,901,821
40,9,901,847
40,9,901,823
50,9,801,847
50,9,801,844
50,9,901,847
60,9,901,865
60,9,901,943
60,9,901,841
60,9,901,872
60,9,901,847
